Timestamp,Storage.mystorage__A1 [kVA],Storage.mystorage__B1 [kVA],Storage.mystorage__C1 [kVA]
2020-01-01 15:45:00,(2.6701429652982602-0.04675755038339165j),(2.679367169465705+0.026769015608547532j),(2.6503493777252474+0.019870703416318747j)
2020-01-01 16:00:00,(2.6683723982012264-0.04836450335580808j),(2.6791834374432097+0.027433707294447912j),(2.650806791069676+0.020070256073732255j)
2020-01-01 16:15:00,(2.669705134633744-0.04733160544763531j),(2.679860615375098+0.027425396748066534j),(2.6510929792937414+0.020323179928149103j)
2020-01-01 16:30:00,(2.669360020270259-0.04758789414610699j),(2.679598493607869+0.02733611186040798j),(2.6509203936062824+0.020177669475814355j)
2020-01-01 16:45:00,(2.66946416358776-0.047481238887759264j),(2.679710632091664+0.027325717346302097j),(2.650906442296402+0.020207802635947472j)
2020-01-01 17:00:00,(2.6688751653794807-0.04801571308064062j),(2.679615907392018+0.027506779136225533j),(2.6510199587778027+0.020237649421704647j)
2020-01-01 17:15:00,(2.668901539802081-0.04805181857079289j),(2.679784681214317+0.02764239471309611j),(2.651208317073594+0.020352300958866407j)
2020-01-01 17:30:00,(2.670695785015383-0.04710152018874638j),(2.677272383071258+0.027440628312707986j),(2.651971822602799+0.01985828914314993j)
2020-01-01 17:45:00,(2.670720119515565-0.047137442954309196j),(2.677255659484368+0.027346138039148173j),(2.652024757853261+0.01979166819298257j)
2020-01-01 18:00:00,(2.6707195901473555-0.04713734551837615j),(2.677255179075164+0.02734548584268532j),(2.6520252345830166+0.019791859889892523j)
2020-01-01 18:15:00,(2.6707195767966607-0.04713734947997329j),(2.6772551815491386+0.02734547989213411j),(2.6520252415519523+0.019791869452466245j)
2020-01-01 18:30:00,(2.6707195765927887-0.04713734962322101j),(2.677255181794875+0.027345479942984866j),(2.652025241607891+0.019791869676075977j)
2020-01-01 18:45:00,(2.672426579591891-0.045959790342383226j),(2.676069913957351+0.026983850731062603j),(2.6522829270885695+0.01947596182402526j)
2020-01-01 19:00:00,(2.6721946783681507-0.04608210559696042j),(2.675765633235059+0.026794877995821708j),(2.6520445318302666+0.019290480013056596j)
2020-01-01 19:15:00,(2.672193216333228-0.04608249812411835j),(2.6757632329200995+0.026793189894587614j),(2.652043585748302+0.019289331534824896j)
2020-01-01 19:30:00,(2.6739623491058855-0.04485286500547201j),(2.674527659694632+0.026415844805432243j),(2.6523107693644365+0.018963877499134925j)
2020-01-01 19:45:00,(2.6737228110169964-0.04498279580650275j),(2.6742155510764025+0.02621679781105854j),(2.652066454934633+0.01876932383892631j)
2020-01-01 20:00:00,(2.6737213171691248-0.04498321524235084j),(2.6742131764151167+0.02621506401859824j),(2.65206553974461+0.01876817407775866j)
2020-01-01 20:15:00,(2.6737212990484323-0.04498321772726779j),(2.6742131590325293+0.02621504512169031j),(2.6520655421067385+0.018768172692713733j)
2020-01-01 20:30:00,(2.673721298747558-0.044983217831319595j),(2.674213159045281+0.026215044971797625j),(2.6520655422057717+0.018768172857246326j)
2020-01-01 20:45:00,(2.67653373743316-0.04300737201569329j),(2.672231091855301+0.025610335482997924j),(2.6524889681565065+0.018255213285578293j)
2020-01-01 21:00:00,(2.676155514622401-0.043221492094022866j),(2.6717436290884433+0.025286245893855266j),(2.6521079975572293+0.017940420783028457j)
2020-01-01 21:15:00,(2.67615319919624-0.04322218989699597j),(2.671740139064116+0.02528352927112269j),(2.652106707568521+0.017938693744294368j)
2020-01-01 21:30:00,(2.676153171220976-0.04322219498803389j),(2.6717401168668466+0.02528350143423154j),(2.652106712117591+0.017938693637717735j)
2020-01-01 21:45:00,(2.6761531707835626-0.04322219517212545j),(2.6717401169641546+0.02528350125633756j),(2.6521067122493456+0.01793869391163548j)
2020-01-01 22:00:00,(2.676153170778609-0.043222195176734576j),(2.671740116971731+0.025283501258902105j),(2.652106712249539+0.017938693917705677j)
2020-01-01 22:15:00,(2.6761531707786-0.04322219517679959j),(2.671740116971891+0.02528350125901716j),(2.6521067122495072+0.01793869391779117j)
2020-01-01 22:30:00,(2.6761531707785946-0.04322219517680182j),(2.6717401169718857+0.025283501259007836j),(2.652106712249501+0.017938693917795717j)
2020-01-01 22:45:00,(2.6680475619977932-0.04046857182076468j),(2.6735314286038396+0.023346536673520178j),(2.6576182869215517+0.016549976656340504j)
2020-01-01 23:00:00,(2.6682025604162316-0.040389768753476205j),(2.67391627923816+0.023560000087434446j),(2.657876501470127+0.016825923564647155j)
2020-01-01 23:15:00,(2.6682032264819844-0.04039008176578922j),(2.673919651173313+0.02356225461666486j),(2.657877083484037+0.016827795946928518j)
2020-01-01 23:30:00,(2.6614136719805375-0.0365891540359782j),(2.674319960325098+0.021022668731119666j),(2.6635185968915+0.01502885881300881j)
2020-01-01 23:45:00,(2.661574489574081-0.03650321427143695j),(2.674666841404837+0.021224363069706216j),(2.663755182726654+0.015275982471675206j)
